Free Agents  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Kyle Schwarber DH | PHI ,519,97,128,62,21,1,44,108,88,181,7,2,.247,.364,.545,11
W ,"Jackson Chourio LF,CF,RF | MIL ",590,94,163,91,39,7,26,89,34,142,20,6,.276,.317,.498,12
W ,Francisco Lindor SS | NYM ,584,107,161,96,35,1,29,83,58,125,26,5,.276,.349,.488,13
W ,Rafael Devers 1B | SF ,529,91,145,80,31,2,32,98,88,153,2,0,.274,.379,.522,16
W ,Matt Olson 1B | ATL,546,83,150,84,39,2,25,87,71,145,1,0,.275,.362,.491,18
W ,Manny Machado 3B | SD ,578,89,168,102,36,0,30,104,46,133,12,3,.291,.344,.509,19
W ,Bryce Harper 1B | PHI ,555,79,146,81,37,0,28,83,70,142,10,2,.263,.352,.481,20
W ,Mookie Betts SS | LAD ,572,87,156,110,26,4,16,77,59,78,9,2,.273,.342,.416,21
W ,William Contreras C | MIL,479,74,127,82,26,1,18,68,57,110,5,2,.265,.344,.436,24
W ,Brice Turang 2B | MIL ,556,85,153,104,28,3,18,75,52,150,20,6,.275,.338,.433,26
W ,Freddie Freeman 1B | LAD ,537,76,159,98,38,2,21,82,60,117,6,2,.296,.373,.492,27
W ,Geraldo Perdomo SS | ARI,469,77,136,91,26,3,16,74,67,80,20,5,.290,.381,.461,28
W ,Austin Riley 3B | ATL ,575,84,158,96,35,3,24,82,40,160,2,1,.275,.329,.471,32
W ,Jackson Merrill CF | SD ,563,83,167,93,39,10,25,97,36,137,8,3,.297,.341,.535,34
W ,Christian Yelich LF | MIL ,548,82,144,90,23,1,30,95,57,168,13,4,.263,.337,.473,35
W ,"Seiya Suzuki LF,RF | CHC",532,70,141,75,34,4,28,87,59,168,8,3,.265,.338,.502,36
W ,Michael Harris CF | ATL,540,57,143,93,24,7,19,74,18,112,17,6,.265,.291,.441,40
W ,Nico Hoerner 2B | CHC,487,71,147,108,29,3,7,47,32,49,23,6,.302,.355,.417,42
W ,"Kyle Stowers LF,CF,RF | MIA ",517,79,146,84,26,4,32,83,58,161,9,2,.282,.360,.534,45
W ,Willy Adames SS | SF,532,86,136,78,26,1,31,89,62,153,14,4,.256,.335,.483,51
W ,Alex Bregman 3B | CHC ,534,82,147,82,36,1,28,80,60,91,2,1,.275,.356,.504,52
W ,Luis Robert CF | NYM ,524,87,133,83,25,0,25,84,53,160,43,12,.254,.325,.445,57
W ,Brandon Lowe 2B | PIT,527,79,138,83,24,1,30,83,46,150,5,3,.262,.323,.482,58
W ,Teoscar Hernandez RF | LAD,487,63,132,82,26,2,22,85,32,130,7,2,.271,.319,.468,61
W ,Matt Chapman 3B | SF,464,84,120,64,29,2,25,69,61,128,10,4,.259,.351,.491,69
W ,Eugenio Suarez 3B | CIN ,505,68,120,61,25,1,33,88,36,183,3,1,.238,.296,.487,70
W ,Ian Happ LF | CHC ,460,72,116,63,31,1,21,69,65,134,7,2,.252,.348,.461,73
W ,"Andy Pages LF,CF,RF | LAD",475,58,128,85,23,2,18,66,27,106,11,5,.270,.318,.440,74
W ,Bo Bichette SS | NYM,567,75,164,105,38,3,18,86,43,121,6,3,.289,.342,.462,83
W ,"Noelvi Marte 3B,RF | CIN ",432,62,118,63,26,3,26,70,26,121,13,4,.273,.322,.528,84
W ,Jorge Polanco 2B | NYM,491,66,129,75,30,0,24,80,46,103,6,3,.263,.326,.470,85
W ,"Xavier Edwards 2B,SS | MIA ",503,72,147,116,21,6,4,45,51,92,30,7,.292,.358,.382,86
W ,Gabriel Moreno C | ARI,423,58,113,80,17,1,15,61,44,94,3,2,.267,.338,.418,92
W ,Francisco Alvarez C | NYM,407,54,103,65,20,1,17,59,38,114,1,0,.253,.324,.432,95
W ,"Ramon Laureano LF,CF,RF | SD",485,73,142,85,32,4,21,81,32,129,10,5,.293,.345,.505,96
W ,Marcus Semien 2B | NYM,494,74,123,80,22,2,19,74,52,104,12,2,.249,.323,.417,97
W ,"Dylan Crews CF,RF | WAS ",454,65,106,70,17,4,15,50,39,111,26,7,.234,.304,.388,99
W ,Max Muncy 3B | LAD,423,64,103,61,19,2,21,73,72,114,5,1,.243,.361,.447,100
W ,JJ Wetherholt SS | STL ,473,61,124,83,24,3,14,54,37,118,15,4,.262,.322,.414,101
W ,"Sal Frelick CF,RF | MIL ",543,78,150,107,23,5,15,67,45,102,17,5,.276,.335,.420,107
W ,"Spencer Steer 1B,LF | CIN",477,66,119,69,23,3,24,78,51,120,12,1,.249,.328,.461,108
W ,"Alec Burleson 1B,LF,RF | STL",493,59,142,94,24,3,21,72,36,86,7,2,.288,.337,.477,110
W ,"Luis Arraez 1B,2B | SF",540,67,163,119,29,7,8,54,29,30,9,3,.302,.340,.426,111
W ,Xander Bogaerts SS | SD ,563,76,157,106,34,1,16,67,44,118,21,3,.279,.331,.428,118
W ,Adolis Garcia RF | PHI,502,67,127,72,31,0,24,86,33,148,13,5,.253,.303,.458,119
W ,Heliot Ramos LF | SF,495,70,142,97,22,2,21,66,38,125,6,3,.287,.350,.467,120
W ,"Otto Lopez 2B,SS | MIA",486,63,126,87,21,1,17,72,42,93,14,6,.259,.322,.411,121
W ,Luis Garcia 2B | WAS ,476,61,127,83,27,1,16,62,26,88,16,5,.267,.305,.429,122
W ,Bryce Eldridge DH | SF ,457,64,119,69,26,2,22,73,55,129,5,1,.260,.342,.470,123
W ,"Bryson Stott 2B,SS | PHI ",440,58,116,81,20,3,12,58,42,89,22,4,.264,.327,.405,124
W ,"Brett Baty 2B,3B | NYM ",390,54,101,64,17,3,17,52,33,106,8,1,.259,.319,.449,125
W ,"Mickey Moniak LF,CF,RF | COL ",509,76,141,81,25,10,25,84,29,131,13,4,.277,.319,.513,130
W ,Ezequiel Tovar SS | COL,508,73,144,87,31,8,18,62,26,134,7,5,.283,.321,.482,131
W ,Andrew Vaughn 1B | MIL ,472,54,126,79,25,1,21,85,35,103,1,0,.267,.322,.458,134
W ,"Alec Bohm 1B,3B | PHI",494,60,144,100,28,3,13,75,34,87,3,1,.291,.342,.439,135
W ,Carson Benge CF | NYM ,384,57,99,60,20,3,16,54,39,101,11,3,.258,.332,.451,136
W ,Jung Hoo Lee CF | SF ,478,69,136,87,29,9,11,56,39,78,10,3,.284,.344,.452,140
W ,Tyler Stephenson C | CIN,434,61,109,60,25,1,23,72,45,147,1,0,.251,.326,.472,141
W ,TJ Friedl CF | CIN ,412,59,106,73,16,2,15,51,52,89,9,2,.257,.353,.415,144
W ,Moises Ballesteros DH | CHC ,461,70,124,73,23,3,25,75,56,120,5,1,.269,.354,.495,150
W ,Mark Vientos 3B | NYM,498,63,128,75,24,2,27,82,34,153,1,0,.257,.307,.476,151
W ,Nick Castellanos RF | SD,390,55,105,68,23,2,12,53,23,89,5,1,.269,.314,.431,154
W ,Marcell Ozuna DH | PIT,385,50,96,59,18,1,18,55,62,118,1,0,.249,.355,.442,155
W ,"Ryan O'Hearn 1B,RF | PIT",466,60,129,88,23,3,15,61,58,104,4,1,.277,.361,.436,157
W ,"Tommy Edman 2B,3B,CF | LAD ",386,49,99,67,19,2,11,50,25,74,7,1,.257,.306,.402,158
W ,Carson Kelly C | CHC ,373,45,92,62,15,1,14,51,39,88,1,0,.247,.327,.405,160
W ,"Lars Nootbaar LF,CF,RF | STL ",390,49,94,60,19,3,12,41,48,96,5,4,.241,.329,.397,163
W ,Nolan Arenado 3B | ARI,495,69,127,84,22,2,19,73,42,78,3,1,.257,.317,.424,167
W ,"Harrison Bader LF,CF | SF ",409,59,110,75,21,1,13,48,32,117,11,8,.269,.331,.420,168
W ,Ha-seong Kim SS | ATL ,384,51,93,62,17,2,12,46,47,91,18,5,.242,.328,.391,169
W ,"Jake Cronenworth 1B,2B,SS | SD ",407,57,104,67,22,3,12,60,51,106,4,2,.256,.355,.413,170
W ,"Willi Castro 2B,3B,LF,RF | COL ",366,59,94,61,18,5,10,38,32,109,9,5,.257,.330,.415,173
W ,"Jake McCarthy LF,CF,RF | COL",374,41,94,65,14,7,8,41,20,75,15,3,.251,.298,.390,175
W ,Harry Ford C | WAS,193,22,48,32,9,1,6,24,14,49,1,0,.249,.308,.399,178
W ,"Jake Mangum LF,CF,RF | PIT",384,41,110,80,21,2,7,41,28,78,22,4,.286,.338,.406,181
W ,"Nolan Gorman 2B,3B | STL ",380,49,84,48,17,2,17,50,46,147,3,1,.221,.305,.410,183
W ,Lourdes Gurriel LF | ARI ,319,36,83,55,15,1,12,47,19,58,6,2,.260,.305,.426,184
W ,Keibert Ruiz C | WAS ,437,40,108,76,22,0,10,51,16,62,1,1,.247,.279,.366,186
W ,Sean Murphy C | ATL ,304,35,65,37,12,1,15,41,33,90,0,0,.214,.305,.408,187
W ,Connor Norby 3B | MIA,490,67,127,80,27,2,18,58,34,145,11,4,.259,.315,.433,190
W ,"Brandon Marsh LF,CF | PHI ",441,64,118,75,25,3,15,57,44,137,12,3,.268,.333,.440,191
W ,"Tyler Freeman 2B,RF | COL ",416,61,118,87,22,4,5,41,48,73,20,7,.284,.373,.392,192
W ,Brady House 3B | WAS ,491,57,122,85,23,1,13,59,26,125,10,2,.248,.285,.379,194
W ,Miguel Amaya C | CHC,388,45,103,61,26,1,15,70,27,84,1,0,.266,.318,.454,195
W ,"Mike Yastrzemski CF,RF | ATL ",395,57,100,58,22,3,17,46,47,96,6,2,.253,.335,.453,196
W ,Zac Veen LF | COL,374,50,93,58,18,3,14,49,31,107,11,3,.249,.314,.425,197
W ,Dalton Rushing C | LAD,382,48,93,61,18,1,13,57,35,106,2,0,.243,.309,.398,198
W ,Freddy Fermin C | SD,389,47,110,83,19,0,8,37,27,82,2,1,.283,.333,.393,199
W ,Pavin Smith 1B | ARI,435,64,117,68,29,2,18,63,62,138,4,3,.269,.358,.469,209
W ,Nate Lowe 1B | CIN ,462,60,114,71,19,3,21,75,62,152,1,0,.247,.337,.437,210
W ,Joseph Ortiz SS | MIL ,439,57,103,71,20,3,9,50,31,85,12,4,.235,.289,.355,211
W ,"Jared Triolo 1B,2B,3B,SS | PIT",381,52,93,59,21,2,11,35,41,93,14,3,.244,.320,.396,212
W ,Ke'Bryan Hayes 3B | CIN,438,53,105,80,15,3,7,47,30,98,11,3,.240,.296,.336,213
W ,Patrick Bailey C | SF,374,46,94,65,19,2,8,53,30,109,2,0,.251,.308,.377,214
W ,"Edouard Julien 1B,2B | COL ",370,44,88,59,18,0,11,40,39,127,3,3,.238,.315,.376,216
W ,TJ Rumfield 1B | COL ,456,60,120,76,25,2,17,67,43,120,4,1,.263,.334,.439,223
W ,"Troy Johnston 1B,LF,RF | COL",372,48,99,66,16,3,14,48,30,107,9,5,.266,.328,.438,225
W ,Christian Encarnacion-Strand 1B | CIN ,380,47,93,55,19,1,18,55,33,101,2,0,.245,.310,.442,226
W ,Joey Bart C | PIT,375,44,98,66,18,1,13,54,43,112,1,1,.261,.350,.419,227
W ,"J.J. Bleday LF,CF,RF | CIN ",372,57,85,45,23,2,15,46,44,102,2,2,.229,.313,.422,228
W ,"Liam Hicks C,1B | MIA",373,43,94,65,17,1,11,51,42,84,3,0,.252,.340,.391,229
W ,Ronny Mauricio 3B | NYM ,319,43,78,51,13,1,13,37,31,87,7,1,.244,.316,.414,230
W ,Tyler Locklear 1B | ARI ,274,37,69,45,12,1,11,37,30,75,4,1,.252,.332,.423,231
W ,"Mauricio Dubon 2B,3B,SS,LF,CF | ATL",422,48,102,68,27,0,7,44,27,59,4,1,.242,.286,.355,233
W ,"Javier Sanoja 2B,3B,SS,LF,CF | MIA",260,35,68,40,18,3,7,34,20,54,6,3,.262,.315,.435,234
W ,"Nasim Nunez 2B,SS | WAS",195,27,51,34,10,1,6,26,15,48,9,2,.262,.315,.415,238
W ,Jhostynxon Garcia RF | PIT,188,25,48,30,10,1,7,24,19,51,5,1,.255,.329,.431,241
W ,Joe Mack C | MIA ,161,19,40,26,8,0,6,22,14,42,1,0,.248,.315,.410,245
W ,Jimmy Crooks C | STL ,191,21,44,29,8,1,6,22,14,53,1,0,.230,.292,.377,246
W ,"Luis Matos LF,RF | SF ",404,58,104,63,21,4,16,52,35,95,11,2,.257,.319,.448,249
W ,Adrian Del Castillo DH | ARI ,419,50,112,67,25,1,19,64,40,128,3,2,.267,.335,.468,250
W ,Garrett Mitchell CF | MIL ,383,56,95,55,24,4,12,43,39,118,17,4,.248,.322,.426,251
W ,"Luis Rengifo 2B,3B | MIL",416,55,115,86,18,3,8,46,27,73,14,7,.276,.324,.392,252
W ,"David Hamilton 2B,SS | MIL",324,45,79,54,14,2,9,38,25,77,27,7,.244,.300,.383,253
